,0
0,['informational_support']
1,['informational_support']
2,['narrative']
3,['narrative']
4,['informational_support']
5,['narrative']
6,['informational_support']
7,[]
8,['informational_support']
9,['question']
10,['informational_support']
11,['informational_support']
12,['question']
13,"['informational_support', 'question']"
14,['question']
15,['informational_support']
16,['narrative']
17,['informational_support']
18,['informational_support']
19,[]
20,['question']
21,['informational_support']
22,['informational_support']
23,['narrative']
24,['narrative']
25,['narrative']
26,['informational_support']
27,['narrative']
28,['informational_support']
29,['narrative']
30,['informational_support']
31,"['emotional_support', 'question']"
32,['narrative']
33,['narrative']
34,['narrative']
35,['question']
36,['narrative']
37,"['informational_support', 'narrative']"
38,"['informational_support', 'narrative']"
39,['informational_support']
40,[]
41,['narrative']
42,['question']
43,['informational_support']
44,['informational_support']
45,['narrative']
46,['emotional_support']
47,['informational_support']
48,[]
49,['informational_support']
50,['informational_support']
51,['informational_support']
52,['question']
53,"['informational_support', 'narrative']"
54,"['informational_support', 'narrative']"
55,['informational_support']
56,['narrative']
57,['narrative']
58,['informational_support']
59,['informational_support']
60,['narrative']
61,['narrative']
62,['narrative']
63,['informational_support']
64,"['informational_support', 'narrative']"
65,['narrative']
66,['informational_support']
67,['narrative']
68,['informational_support']
69,['narrative']
70,['narrative']
71,['narrative']
72,['narrative']
73,['narrative']
74,['narrative']
75,['narrative']
76,['informational_support']
77,['narrative']
78,['informational_support']
79,"['informational_support', 'narrative']"
80,"['informational_support', 'narrative']"
81,['narrative']
82,['narrative']
83,['informational_support']
84,['informational_support']
85,"['external_source', 'informational_support']"
86,['narrative']
87,['informational_support']
88,['informational_support']
89,"['informational_support', 'narrative']"
90,"['informational_support', 'narrative']"
91,['narrative']
92,['informational_support']
93,['narrative']
94,['narrative']
95,['informational_support']
96,['narrative']
97,"['informational_support', 'narrative']"
98,"['informational_support', 'narrative']"
99,['narrative']
100,['informational_support']
101,['informational_support']
102,['informational_support']
103,['informational_support']
104,['narrative']
105,['informational_support']
106,"['informational_support', 'narrative']"
107,['informational_support']
108,[]
109,[]
110,"['informational_support', 'narrative']"
111,['narrative']
112,['informational_support']
113,"['emotional_support', 'informational_support', 'narrative']"
114,['narrative']
115,['narrative']
116,['narrative']
117,['narrative']
118,['narrative']
119,[]
120,['question']
121,['informational_support']
122,['narrative']
123,['question']
124,['narrative']
125,['question']
126,"['external_source', 'informational_support']"
127,['informational_support']
128,['emotional_support']
129,['informational_support']
130,['narrative']
131,"['informational_support', 'narrative']"
132,['informational_support']
133,['narrative']
134,['narrative']
135,"['narrative', 'question']"
136,['narrative']
137,['emotional_support']
138,['narrative']
139,['narrative']
140,['informational_support']
141,['question']
142,['informational_support']
143,['informational_support']
144,['question']
145,['narrative']
146,['narrative']
147,['question']
148,['narrative']
149,['narrative']
150,['emotional_support']
151,['narrative']
152,['narrative']
153,"['informational_support', 'narrative']"
154,['narrative']
155,['narrative']
156,['emotional_support']
157,['informational_support']
158,['narrative']
159,"['emotional_support', 'informational_support']"
160,['informational_support']
161,"['emotional_support', 'narrative']"
162,['emotional_support']
163,['narrative']
164,['narrative']
165,['informational_support']
166,['informational_support']
167,['narrative']
168,"['informational_support', 'question']"
169,['narrative']
170,['informational_support']
171,['emotional_support']
172,"['narrative', 'question']"
173,[]
174,['narrative']
175,['emotional_support']
176,['informational_support']
177,['emotional_support']
178,['narrative']
179,['emotional_support']
180,['question']
181,['narrative']
182,['informational_support']
183,['informational_support']
184,[]
185,['narrative']
186,['informational_support']
187,['question']
188,['narrative']
189,"['informational_support', 'narrative']"
190,['narrative']
191,"['external_source', 'question']"
192,"['informational_support', 'narrative']"
193,['informational_support']
194,['narrative']
195,['narrative']
196,['informational_support']
197,['emotional_support']
198,['narrative']
199,['emotional_support']
200,['emotional_support']
201,['narrative']
202,['narrative']
203,['emotional_support']
204,['emotional_support']
205,"['emotional_support', 'narrative']"
206,['narrative']
207,['informational_support']
208,[]
209,['narrative']
210,['emotional_support']
211,['emotional_support']
212,['informational_support']
213,[]
214,['narrative']
215,['narrative']
216,['emotional_support']
217,['emotional_support']
218,"['external_source', 'informational_support']"
219,['emotional_support']
220,['external_source']
221,['informational_support']
222,['informational_support']
223,"['external_source', 'informational_support']"
224,['emotional_support']
225,['emotional_support']
226,['question']
227,['emotional_support']
228,['question']
229,"['emotional_support', 'narrative']"
230,['narrative']
231,[]
232,"['informational_support', 'narrative']"
233,['informational_support']
234,['narrative']
235,[]
236,['informational_support']
237,['informational_support']
238,['informational_support']
239,['narrative']
240,['narrative']
241,['informational_support']
242,['emotional_support']
243,['question']
244,['informational_support']
245,['narrative']
246,['emotional_support']
247,"['informational_support', 'narrative']"
248,['narrative']
249,"['informational_support', 'narrative']"
250,"['informational_support', 'narrative']"
251,['informational_support']
252,['external_source']
253,['narrative']
254,['informational_support']
255,['emotional_support']
256,"['emotional_support', 'narrative']"
257,['question']
258,['informational_support']
259,['narrative']
260,"['emotional_support', 'narrative']"
261,['emotional_support']
262,['emotional_support']
263,['informational_support']
264,['informational_support']
265,['informational_support']
266,['narrative']
267,['informational_support']
268,[]
269,['informational_support']
270,['informational_support']
271,['narrative']
272,['emotional_support']
273,['informational_support']
274,['informational_support']
275,"['emotional_support', 'informational_support']"
276,['narrative']
277,['emotional_support']
278,['emotional_support']
279,['narrative']
280,['question']
281,"['emotional_support', 'narrative']"
282,['emotional_support']
283,['emotional_support']
284,['narrative']
285,['emotional_support']
286,['narrative']
287,[]
288,['narrative']
289,['narrative']
290,['question']
291,['question']
292,['narrative']
293,['narrative']
294,"['emotional_support', 'external_source']"
295,['narrative']
296,['question']
297,['narrative']
298,"['informational_support', 'narrative']"
299,"['external_source', 'informational_support']"
300,['narrative']
301,['informational_support']
302,['question']
303,['question']
304,"['informational_support', 'question']"
305,['informational_support']
306,['narrative']
307,['narrative']
308,[]
309,"['narrative', 'question']"
310,['informational_support']
311,['emotional_support']
312,['informational_support']
313,['informational_support']
314,['narrative']
315,[]
316,['narrative']
317,"['narrative', 'question']"
318,"['external_source', 'informational_support']"
319,['narrative']
320,['narrative']
321,['informational_support']
322,['narrative']
323,['emotional_support']
324,"['informational_support', 'question']"
325,['informational_support']
326,['informational_support']
327,['narrative']
328,['informational_support']
329,['narrative']
330,['informational_support']
331,['informational_support']
332,['emotional_support']
333,['external_source']
334,['informational_support']
335,['informational_support']
336,"['narrative', 'question']"
337,['informational_support']
338,"['emotional_support', 'informational_support']"
339,['informational_support']
340,"['informational_support', 'question']"
341,['informational_support']
342,"['emotional_support', 'question']"
343,"['emotional_support', 'external_source', 'informational_support', 'question']"
344,"['emotional_support', 'narrative']"
345,['narrative']
346,['informational_support']
347,['informational_support']
348,['question']
349,['informational_support']
350,['informational_support']
351,['informational_support']
352,['informational_support']
353,"['narrative', 'question']"
354,['narrative']
355,['question']
356,"['informational_support', 'question']"
357,['narrative']
358,"['informational_support', 'question']"
359,['narrative']
360,"['emotional_support', 'informational_support', 'narrative']"
361,"['external_source', 'narrative']"
362,['emotional_support']
363,['emotional_support']
364,['emotional_support']
365,['emotional_support']
366,"['narrative', 'question']"
367,['question']
368,['question']
369,"['external_source', 'informational_support']"
370,"['informational_support', 'narrative']"
371,"['informational_support', 'narrative']"
372,['narrative']
373,['emotional_support']
374,['question']
375,"['informational_support', 'narrative']"
376,['narrative']
377,['informational_support']
378,"['emotional_support', 'informational_support']"
379,"['informational_support', 'narrative']"
380,['narrative']
381,['informational_support']
382,['narrative']
383,['narrative']
384,['question']
385,['emotional_support']
386,"['informational_support', 'question']"
387,[]
388,['narrative']
389,['narrative']
390,['narrative']
391,['emotional_support']
392,['narrative']
393,['emotional_support']
394,"['external_source', 'informational_support']"
395,['informational_support']
396,['narrative']
397,"['emotional_support', 'informational_support']"
398,"['informational_support', 'narrative']"
399,['narrative']
400,['narrative']
401,['narrative']
402,"['narrative', 'question']"
403,['narrative']
404,['informational_support']
405,[]
406,['informational_support']
407,['informational_support']
408,['narrative']
409,"['external_source', 'informational_support']"
410,['informational_support']
411,['emotional_support']
412,"['informational_support', 'narrative']"
413,['narrative']
414,"['emotional_support', 'informational_support']"
415,['question']
416,['narrative']
417,['emotional_support']
418,['external_source']
419,['informational_support']
420,['question']
421,['question']
422,['external_source']
423,['narrative']
424,['narrative']
425,['emotional_support']
426,['external_source']
427,['informational_support']
428,['informational_support']
429,['narrative']
430,['informational_support']
431,['informational_support']
432,[]
433,['informational_support']
434,['narrative']
435,[]
436,"['emotional_support', 'external_source', 'informational_support']"
437,"['emotional_support', 'informational_support']"
438,"['external_source', 'informational_support']"
439,[]
440,['emotional_support']
441,['narrative']
442,['narrative']
443,[]
444,['narrative']
445,['narrative']
446,[]
447,"['informational_support', 'narrative']"
448,[]
449,['external_source']
450,['question']
451,['emotional_support']
452,['narrative']
453,['narrative']
454,"['emotional_support', 'question']"
455,"['informational_support', 'narrative']"
456,['narrative']
457,['question']
458,['narrative']
459,['narrative']
460,['external_source']
461,['informational_support']
462,['narrative']
463,['informational_support']
464,['narrative']
465,['informational_support']
466,['narrative']
467,['informational_support']
468,['narrative']
469,['narrative']
470,['narrative']
471,"['informational_support', 'narrative']"
472,['question']
473,['informational_support']
474,['narrative']
475,['narrative']
476,['informational_support']
477,['narrative']
478,[]
479,[]
480,['question']
481,['question']
482,['informational_support']
483,['informational_support']
484,['narrative']
485,['informational_support']
486,['informational_support']
487,[]
488,['question']
489,['emotional_support']
490,['emotional_support']
491,['emotional_support']
492,['question']
493,['narrative']
494,['narrative']
495,['narrative']
496,['narrative']
497,['emotional_support']
498,['question']
499,['informational_support']
500,['narrative']
501,"['narrative', 'question']"
502,['question']
503,['narrative']
504,['narrative']
505,['emotional_support']
506,['emotional_support']
507,['question']
508,['emotional_support']
509,"['external_source', 'informational_support']"
510,['emotional_support']
511,['narrative']
512,"['emotional_support', 'informational_support']"
513,['emotional_support']
514,['emotional_support']
515,['emotional_support']
516,['narrative']
517,"['emotional_support', 'narrative']"
518,['narrative']
519,['informational_support']
520,['question']
521,['informational_support']
522,['emotional_support']
523,"['informational_support', 'question']"
524,['question']
525,"['narrative', 'question']"
526,"['narrative', 'question']"
527,['informational_support']
528,[]
529,['external_source']
530,['question']
531,['informational_support']
532,['informational_support']
533,['narrative']
534,['question']
535,['informational_support']
536,['external_source']
537,['informational_support']
538,['narrative']
539,['narrative']
540,"['emotional_support', 'narrative']"
541,['narrative']
542,[]
543,['question']
544,['question']
545,['informational_support']
546,['narrative']
547,['informational_support']
548,['informational_support']
549,['informational_support']
550,['narrative']
551,['informational_support']
552,['informational_support']
553,"['informational_support', 'narrative']"
554,['narrative']
555,['question']
556,['narrative']
557,['narrative']
558,['informational_support']
559,['narrative']
560,['emotional_support']
561,['informational_support']
562,['informational_support']
563,['external_source']
564,['narrative']
565,"['emotional_support', 'informational_support']"
566,"['emotional_support', 'narrative']"
